illumina_id,leafsection,leafnumber,rd_uf,rd_filt
1-M-RBCL_S137,M,3,3823,3757
10-B-RBCL_S162,B,2,162291,161244
10-M-RBCL_S174,M,2,81923,81294
10-T-RBCL_S186,T,2,200283,198399
11-B-RBCL_S127,B,3,166376,165320
11-M-RBCL_S139,M,3,78555,77689
11-T-RBCL_OR_9_SHW_oct_28_2020_S151,T,3,72942,69981
6-B-RBCL_S149,B,2,7933,7871
8-M-RBCL_S173,M,2,8462,8405
8-T-RBCL_S185,T,2,176259,175403
9-B-RBCL_S126,B,3,72830,72576
9-M-RBCL_S138,M,3,52457,52031
9-T-RBCL_S150,T,3,108588,107785
1-3-B-RBCL,B,3,58240,57198
1-3-T-RBCL,T,3,172895,171533
3-3-B-RBCL,B,3,89768,88618
3-3-M-RBCL,M,3,181334,179911
3-3-T-RBCL,T,3,105907,103794
4-2-B-RBCL,B,2,123701,123077
4-2-M-RBCL,M,2,67016,66906
4-2-T-RBCL,T,2,3674,3645
5-3-B-RBCL,B,3,73381,72947
5-3-M-RBCL,M,3,85365,85299
5-3-T-RBCL,T,3,70766,69656
6-2-M-RBCL,M,2,21613,17660
6-2-T-RBCL,T,2,107448,106968
7-3-B-RBCL,B,3,129342,128922
7-3-M-RBCL,M,3,105916,105456
7-3-T-RBCL,T,3,65233,64763
